tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N328RR,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N329DN,2017,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N329FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N329JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N329NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N329NW,1992,NA,AIRBUS INDUSTRIE,A320-111,2,100,NA,Turbo-fan
N329PQ,2014,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N329SL,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N330DX,2017,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N330FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N330NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N330NW,1992,NA,AIRBUS INDUSTRIE,A320-111,2,100,NA,Turbo-fan
N330PQ,2014,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N33103,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N331CA,2002,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N331DN,2017,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N331FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N331NB,NA,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N331NW,1992,NA,AIRBUS INDUSTRIE,A320-111,2,100,NA,Turbo-fan
N331PQ,2014,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N33203,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33209,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33262,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33264,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33266,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33284,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33286,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33289,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33292,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N33294,2005,NA,BOEING,737-824,2,149,NA,Turbo-fan
N332DN,2017,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N332FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N332NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N332NW,1992,NA,AIRBUS INDUSTRIE,A320-111,2,100,NA,Turbo-fan
N333DX,2017,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N333NB,2001,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N333NW,1992,NA,AIRBUS INDUSTRIE,A320-111,2,100,NA,Turbo-fan
N334DN,2017,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N334FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N334JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N334NB,2002,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N334NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N334SM,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N335DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N335FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N335NB,2002,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N335NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N335PH,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N335PQ,2014,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N335RT,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N335SN,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N336DX,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N336FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N336NB,2002,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N336NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N336PQ,2014,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N336RU,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N336SR,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N33714,1998,NA,BOEING,737-724,2,149,NA,Turbo-fan
N337DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N337FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N337JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N337NB,2002,NA,AIRBUS INDUSTRIE,A319-114,2,145,NA,Turbo-fan
N337NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N337PJ,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N337PQ,2014,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N338DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N338FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N338NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N338NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N338PK,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N338RS,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N338ST,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N339DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N339FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N339JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N339NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N339NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N339PL,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N339SU,2020,NA,BOEING,737-8,2,185,NA,Turbo-fan
N340CA,2002,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N340DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N340NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N340NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N34131,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N34137,1999,NA,BOEING,757-224,2,178,NA,Turbo-fan
N341DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N341FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N341NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N341NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N341PQ,2014,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N341RW,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N341SV,2021,NA,BOEING,737-8,2,185,NA,Turbo-fan
N34222,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N342DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N342FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N342NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N342NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N342PM,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N342RX,2019,NA,BOEING,737-8,2,185,NA,Turbo-fan
N343DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N343FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N343NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N343NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N343PN,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N343RY,2019,NA,BOEING,737-8,2,185,NA,Turbo-fan
N34455,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N34460,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N344DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N344FR,2018,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N344NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N344NW,1992,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N344PP,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N345DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N345NB,NA,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N345NW,1993,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N346DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N346FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N346JB,2011,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N346NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N346PR,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N347DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N347FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N347NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N347NW,1993,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N348DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N348FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N348JB,2012,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N348NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N348NW,1993,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N348PQ,2015,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N349DX,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N349FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N349NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N349NW,1993,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N349PQ,2015,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N350DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N350FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N350NA,1993,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N350RV,2018,NA,BOEING,737-8,2,185,NA,Turbo-fan
N351DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N351FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N351JB,2012,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N351NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N351NW,1997,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N35204,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N35236,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N35260,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N35271,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N352DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N352FR,2019,NA,AIRBUS SAS,A320-251N,2,181,NA,Turbo-fan
N352NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N352NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N352PS,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N353DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N353FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N353JB,2012,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N353NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N353NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N35407,2001,NA,BOEING,737-924,2,191,NA,Turbo-fan
N354CA,2002,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N354DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N354FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N354JB,2013,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N354NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N354NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N354PT,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N355DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N355JB,2013,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N355NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N355NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N355PU,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N356DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N356FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N356NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N357DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N357NB,2002,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N357NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N357PV,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N358DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N358FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N358JB,2013,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N358NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N358NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N358PW,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N35953,2015,NA,BOEING,787-9,2,422,NA,Turbo-fan
N359DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N359FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N359NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N359NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N359PX,2017,NA,BOEING,737-800,2,189,NA,Turbo-fan
N360DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N360FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N360HA,2016,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N360NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N360NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N361DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N361FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N361HA,2017,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N361NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N361NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N361VA,2013,NA,AIRBUS,A320-214,2,182,NA,Turbo-fan
N36207,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N36247,1999,NA,BOEING,737-824,2,149,NA,Turbo-fan
N36272,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N362DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N362FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N362NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N362NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N363DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N363FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N363NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N363NW,1998,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N36444,2010,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N36447,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N36469,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N36472,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N36476,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N364DX,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N364FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N364NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N364NW,1999,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N365DN,2018,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N365FR,2019,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N365NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N365NW,1999,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N366DX,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N366FR,2020,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N366NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N366NW,1999,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N367CA,2002,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N367DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N367FR,2020,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N367NW,1999,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N368CA,2003,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N368DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N368FR,2020,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N368JB,2013,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N368NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N368NW,1999,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N36962,2015,NA,BOEING,787-9,2,422,NA,Turbo-fan
N369DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N369FR,2020,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N369NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N369NW,1999,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N37018,2002,NA,BOEING,777-224,2,400,NA,Turbo-fan
N370DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N370FR,NA,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N370HA,2014,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N370NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N370NW,1999,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N371CA,2003,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N371DA,1998,NA,BOEING,737-832,2,189,NA,Turbo-fan
N371DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N371FR,2020,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N371NB,2003,NA,AIRBUS,A319-114,2,145,NA,Turbo-fan
N371NW,2001,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N37252,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37253,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37255,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37257,NA,NA,BOEING,737-8,2,185,NA,Turbo-fan
N37263,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37267,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37273,2001,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37274,2002,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37277,2002,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37287,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37290,2004,NA,BOEING,737-824,2,149,NA,Turbo-fan
N37293,2005,NA,BOEING,737-824,2,149,NA,Turbo-fan
N372DA,1998,NA,BOEING,737-832,2,189,NA,Turbo-fan
N372DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N372FR,2020,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N372NW,2001,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N3730B,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3731T,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3732J,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3733Z,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3734B,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3735D,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3736C,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3737C,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3738B,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3739P,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N373DA,1998,NA,BOEING,737-832,2,189,NA,Turbo-fan
N373DX,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N373FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N373HA,2014,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N373JB,2013,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N373NW,2001,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N37408,2001,NA,BOEING,737-924,2,191,NA,Turbo-fan
N3740C,2000,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37413,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37419,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N3741S,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37420,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37422,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37427,2008,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N3742C,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37434,2009,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37437,2009,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N3743H,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3744F,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37456,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N3745B,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37462,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37464,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37465,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37466,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37468,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N3746H,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37470,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37471,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N37474,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N3747D,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3748Y,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3749D,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N374CA,NA,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N374DA,1998,NA,BOEING,737-832,2,189,NA,Turbo-fan
N374DX,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N374FR,2021,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N374HA,2014,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N374JB,2013,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N374NW,2001,NA,AIRBUS INDUSTRIE,A320-212,2,182,NA,Turbo-fan
N37502,2018,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37504,2018,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37506,2018,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37507,NA,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37508,NA,NA,BOEING,737-9,2,48,NA,Turbo-fan
N3750D,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37510,2019,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37513,2019,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37514,2019,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37516,2020,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37518,2021,NA,BOEING,737-9,2,48,NA,Turbo-fan
N3751B,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3752,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37521,2019,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37522,2021,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37523,2020,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37525,2021,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37527,2021,NA,BOEING,737-9,2,48,NA,Turbo-fan
N37528,2021,NA,BOEING,737-9,2,48,NA,Turbo-fan
N3753,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N37530,2021,NA,BOEING,737-9,2,48,NA,Turbo-fan
N3754A,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3755D,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3756,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3757D,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3758Y,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3759,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N375DA,1998,NA,BOEING,737-832,2,189,NA,Turbo-fan
N375DN,2019,NA,AIRBUS,A321-211,2,199,NA,Turbo-fan
N375FR,2020,NA,AIRBUS,A320-251N,2,190,NA,Turbo-jet
N375HA,2015,NA,AIRBUS,A330-243,2,377,NA,Turbo-fan
N375JB,2013,NA,EMBRAER,ERJ 190-100 IGW,2,20,NA,Turbo-fan
N375NC,2002,NA,AIRBUS,A320-212,2,182,NA,Turbo-fan
N3760C,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3761R,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3762Y,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
N3763D,2001,NA,BOEING,737-832,2,189,NA,Turbo-fan
